(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00831	01	A0426	229.89	1.20	1.090	$299.11	$302.05	$370.31	n/a	
00831	01	A0427	229.89	1.90	1.090	$473.60	$478.24	$586.32	n/a	
00831	01	A0428	229.89	1.00	1.090	$249.26	$251.70	$308.58	n/a	
00831	01	A0429	229.89	1.60	1.090	$398.82	$402.73	$493.75	n/a	
00831	01	A0430	1.00	1.00	1.090	"$2,973.17"	"$4,459.76"	n/a	"$4,459.76"	
00831	01	A0431	1.00	1.00	1.090	"$3,456.75"	"$5,185.12"	n/a	"$5,185.12"	
00831	01	A0432	229.89	1.75	1.090	$436.21	$440.48	n/a	n/a	
00831	01	A0433	229.89	2.75	1.090	$685.47	$692.19	$848.62	n/a	
00831	01	A0434	229.89	3.25	1.090	$810.10	$818.04	"$1,002.92"	n/a	
00831	01	A0435	1.00	1.00	1.090	$8.07	$12.11	n/a	$12.11	
00831	01	A0436	1.00	1.00	1.090	$21.53	$32.30	n/a	$32.30	
Oregon										
00835	01	A0425	1.00	1.00	1.015	$6.87	$6.94	n/a	$10.41	
00835	01	A0426	229.89	1.20	1.015	$284.34	$287.13	$352.02	n/a	
00835	01	A0427	229.89	1.90	1.015	$450.20	$454.62	$557.36	n/a	
00835	01	A0428	229.89	1.00	1.015	$236.95	$239.27	$293.35	n/a	
00835	01	A0429	229.89	1.60	1.015	$379.12	$382.84	$469.36	n/a	
00835	01	A0430	1.00	1.00	1.015	"$2,866.48"	"$4,299.72"	n/a	"$4,299.72"	
00835	01	A0431	1.00	1.00	1.015	"$3,332.70"	"$4,999.05"	n/a	"$4,999.05"	
00835	01	A0432	229.89	1.75	1.015	$414.66	$418.73	n/a	n/a	
00835	01	A0433	229.89	2.75	1.015	$651.61	$658.00	$806.71	n/a	
00835	01	A0434	229.89	3.25	1.015	$770.09	$777.64	$953.39	n/a	
00835	01	A0435	1.00	1.00	1.015	$8.07	$12.11	n/a	$12.11	
00835	01	A0436	1.00	1.00	1.015	$21.53	$32.30	n/a	$32.30	
00835	99	A0425	1.00	1.00	0.927	$6.87	$6.94	n/a	$10.41	
00835	99	A0426	229.89	1.20	0.927	$267.01	$269.62	$330.55	n/a	
00835	99	A0427	229.89	1.90	0.927	$422.76	$426.91	$523.39	n/a	
00835	99	A0428	229.89	1.00	0.927	$222.51	$224.69	$275.47	n/a	
00835	99	A0429	229.89	1.60	0.927	$356.01	$359.50	$440.75	n/a	
00835	99	A0430	1.00	1.00	0.927	"$2,741.29"	"$4,111.94"	n/a	"$4,111.94"	
00835	99	A0431	1.00	1.00	0.927	"$3,187.15"	"$4,780.73"	n/a	"$4,780.73"	
00835	99	A0432	229.89	1.75	0.927	$389.38	$393.20	n/a	n/a	
00835	99	A0433	229.89	2.75	0.927	$611.89	$617.89	$757.53	n/a	
00835	99	A0434	229.89	3.25	0.927	$723.14	$730.23	$895.26	n/a	
00835	99	A0435	1.00	1.00	0.927	$8.07	$12.11	n/a	$12.11	
00835	99	A0436	1.00	1.00	0.927	$21.53	$32.30	n/a	$32.30	
Washington										
00836	02	A0425	1.00	1.00	1.085	$6.87	$6.94	n/a	$10.41	
00836	02	A0426	229.89	1.20	1.085	$298.13	$301.05	$369.09	n/a	
00836	02	A0427	229.89	1.90	1.085	$472.04	$476.66	$584.39	n/a	
00836	02	A0428	229.89	1.00	1.085	$248.44	$250.88	$307.58	n/a	
00836	02	A0429	229.89	1.60	1.085	$397.50	$401.40	$492.12	n/a	
00836	02	A0430	1.00	1.00	1.085	"$2,966.06"	"$4,449.09"	n/a	"$4,449.09"	
00836	02	A0431	1.00	1.00	1.085	"$3,448.48"	"$5,172.71"	n/a	"$5,172.71"	
00836	02	A0432	229.89	1.75	1.085	$434.77	$439.03	n/a	n/a	
00836	02	A0433	229.89	2.75	1.085	$683.21	$689.91	$845.83	n/a	
00836	02	A0434	229.89	3.25	1.085	$807.43	$815.35	$999.62	n/a	
00836	02	A0435	1.00	1.00	1.085	$8.07	$12.11	n/a	$12.11	
00836	02	A0436	1.00	1.00	1.085	$21.53	$32.30	n/a	$32.30	
00836	99	A0425	1.00	1.00	0.974	$6.87	$6.94	n/a	$10.41	
00836	99	A0426	229.89	1.20	0.974	$276.26	$278.97	$342.02	n/a	
00836	99	A0427	229.89	1.90	0.974	$437.42	$441.71	$541.54	n/a	
00836	99	A0428	229.89	1.00	0.974	$230.22	$232.48	$285.02	n/a	
00836	99	A0429	229.89	1.60	0.974	$368.35	$371.96	$456.02	n/a	
00836	99	A0430	1.00	1.00	0.974	"$2,808.15"	"$4,212.23"	n/a	"$4,212.23"	
00836	99	A0431	1.00	1.00	0.974	"$3,264.89"	"$4,897.33"	n/a	"$4,897.33"	
00836	99	A0432	229.89	1.75	0.974	$402.89	$406.84	n/a	n/a	
00836	99	A0433	229.89	2.75	0.974	$633.11	$639.31	$783.79	n/a	
00836	99	A0434	229.89	3.25	0.974	$748.22	$755.55	$926.30	n/a	
00836	99	A0435	1.00	1.00	0.974	$8.07	$12.11	n/a	$12.11	
00836	99	A0436	1.00	1.00	0.974	$21.53	$32.30	n/a	$32.30	
South Carolina										
00880	01	A0425	1.00	1.00	0.906	$6.87	$6.94	n/a	$10.41	
00880	01	A0426	209.65	1.20	0.906	$239.73	$242.08	$296.79	n/a	
00880	01	A0427	209.65	1.90	0.906	$379.57	$383.29	$469.91	n/a	
00880	01	A0428	209.65	1.00	0.906	$199.77	$201.73	$247.32	n/a	
00880	01	A0429	209.65	1.60	0.906	$319.64	$322.77	$395.72	n/a	
00880	01	A0430	1.00	1.00	0.906	"$2,711.42"	"$4,067.13"	n/a	"$4,067.13"	
00880	01	A0431	1.00	1.00	0.906	"$3,152.42"	"$4,728.63"	n/a	"$4,728.63"	
00880	01	A0432	209.65	1.75	0.906	$349.60	$353.03	n/a	n/a	
00880	01	A0433	209.65	2.75	0.906	$549.37	$554.76	$680.14	n/a	
00880	01	A0434	209.65	3.25	0.906	$649.26	$655.62	$803.79	n/a	
00880	01	A0435	1.00	1.00	0.906	$8.07	$12.11	n/a	$12.11	
00880	01	A0436	1.00	1.00	0.906	$21.53	$32.30	n/a	$32.30	
Ohio										
00883	00	A0425	1.00	1.00	0.927	$6.87	$6.94	n/a	$10.41	
00883	00	A0426	209.65	1.20	0.927	$243.50	$245.89	$301.46	n/a	
00883	00	A0427	209.65	1.90	0.927	$385.54	$389.32	$477.31	n/a	
00883	00	A0428	209.65	1.00	0.927	$202.92	$204.90	$251.21	n/a	
00883	00	A0429	209.65	1.60	0.927	$324.66	$327.85	$401.94	n/a	
00883	00	A0430	1.00	1.00	0.927	"$2,741.29"	"$4,111.94"	n/a	"$4,111.94"	
00883	00	A0431	1.00	1.00	0.927	"$3,187.15"	"$4,780.73"	n/a	"$4,780.73"	
00883	00	A0432	209.65	1.75	0.927	$355.10	$358.58	n/a	n/a	
00883	00	A0433	209.65	2.75	0.927	$558.02	$563.49	$690.84	n/a	
00883	00	A0434	209.65	3.25	0.927	$659.48	$665.94	$816.44	n/a	
00883	00	A0435	1.00	1.00	0.927	$8.07	$12.11	n/a	$12.11	
00883	00	A0436	1.00	1.00	0.927	$21.53	$32.30	n/a	$32.30	
West Virginia										
00884	16	A0425	1.00	1.00	0.827	$6.87	$6.94	n/a	$10.41	
00884	16	A0426	209.65	1.20	0.827	$225.54	$227.75	$279.22	n/a	
00884	16	A0427	209.65	1.90	0.827	$357.10	$360.60	$442.10	n/a	
00884	16	A0428	209.65	1.00	0.827	$187.95	$189.79	$232.68	n/a	
