(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00835	99	A0429	209.44	1.60	0.968	$334.15	$337.43	$413.68	n/a	
00835	99	A0430	2842.29	1.00	0.968	"$2,796.81"	"$4,195.22"	n/a	"$4,195.22"	
00835	99	A0431	3304.58	1.00	0.968	"$3,251.71"	"$4,877.56"	n/a	"$4,877.56"	
00835	99	A0432	209.44	1.75	0.968	$365.48	$369.06	n/a	n/a	
00835	99	A0433	209.44	2.75	0.968	$574.32	$579.95	$711.02	n/a	
00835	99	A0434	209.44	3.25	0.968	$678.74	$685.40	$840.30	n/a	
00835	99	A0435	8.06	1.00	0.968	$8.06	$12.09	n/a	$12.09	
00835	99	A0436	21.51	1.00	0.968	$21.51	$32.27	n/a	$32.27	
Washington										
00836	02	A0425	6.73	1.00	1.098	$6.86	$6.93	n/a	$10.40	
00836	02	A0426	209.44	1.20	1.098	$273.94	$276.63	$339.14	n/a	
00836	02	A0427	209.44	1.90	1.098	$433.74	$437.99	$536.98	n/a	
00836	02	A0428	209.44	1.00	1.098	$228.28	$230.52	$282.62	n/a	
00836	02	A0429	209.44	1.60	1.098	$365.25	$368.83	$452.19	n/a	
00836	02	A0430	2842.29	1.00	1.098	"$2,981.56"	"$4,472.34"	n/a	"$4,472.34"	
00836	02	A0431	3304.58	1.00	1.098	"$3,466.50"	"$5,199.76"	n/a	"$5,199.76"	
00836	02	A0432	209.44	1.75	1.098	$399.50	$403.41	n/a	n/a	
00836	02	A0433	209.44	2.75	1.098	$627.78	$633.93	$777.20	n/a	
00836	02	A0434	209.44	3.25	1.098	$741.92	$749.20	$918.51	n/a	
00836	02	A0435	8.06	1.00	1.098	$8.06	$12.09	n/a	$12.09	
00836	02	A0436	21.51	1.00	1.098	$21.51	$32.27	n/a	$32.27	
00836	99	A0425	6.73	1.00	0.991	$6.86	$6.93	n/a	$10.40	
00836	99	A0426	209.44	1.20	0.991	$254.74	$257.24	$315.37	n/a	
00836	99	A0427	209.44	1.90	0.991	$403.34	$407.29	$499.34	n/a	
00836	99	A0428	209.44	1.00	0.991	$212.28	$214.36	$262.81	n/a	
00836	99	A0429	209.44	1.60	0.991	$339.65	$342.98	$420.50	n/a	
00836	99	A0430	2842.29	1.00	0.991	"$2,829.50"	"$4,244.25"	n/a	"$4,244.25"	
00836	99	A0431	3304.58	1.00	0.991	"$3,289.71"	"$4,934.56"	n/a	"$4,934.56"	
00836	99	A0432	209.44	1.75	0.991	$371.50	$375.14	n/a	n/a	
00836	99	A0433	209.44	2.75	0.991	$583.78	$589.50	$722.73	n/a	
00836	99	A0434	209.44	3.25	0.991	$689.92	$696.68	$854.13	n/a	
00836	99	A0435	8.06	1.00	0.991	$8.06	$12.09	n/a	$12.09	
00836	99	A0436	21.51	1.00	0.991	$21.51	$32.27	n/a	$32.27	
South Carolina										
00880	01	A0425	6.73	1.00	0.952	$6.86	$6.93	n/a	$10.40	
00880	01	A0426	209.44	1.20	0.952	$247.74	$250.17	$306.71	n/a	
00880	01	A0427	209.44	1.90	0.952	$392.26	$396.10	$485.62	n/a	
00880	01	A0428	209.44	1.00	0.952	$206.45	$208.47	$255.59	n/a	
00880	01	A0429	209.44	1.60	0.952	$330.32	$333.56	$408.94	n/a	
00880	01	A0430	2842.29	1.00	0.952	"$2,774.08"	"$4,161.11"	n/a	"$4,161.11"	
00880	01	A0431	3304.58	1.00	0.952	"$3,225.27"	"$4,837.91"	n/a	"$4,837.91"	
00880	01	A0432	209.44	1.75	0.952	$361.29	$364.83	n/a	n/a	
00880	01	A0433	209.44	2.75	0.952	$567.74	$573.31	$702.87	n/a	
00880	01	A0434	209.44	3.25	0.952	$670.97	$677.54	$830.67	n/a	
00880	01	A0435	8.06	1.00	0.952	$8.06	$12.09	n/a	$12.09	
00880	01	A0436	21.51	1.00	0.952	$21.51	$32.27	n/a	$32.27	
Ohio										
00883	00	A0425	6.73	1.00	0.961	$6.86	$6.93	n/a	$10.40	
00883	00	A0426	209.44	1.20	0.961	$249.36	$251.80	$308.71	n/a	
00883	00	A0427	209.44	1.90	0.961	$394.81	$398.68	$488.79	n/a	
00883	00	A0428	209.44	1.00	0.961	$207.80	$209.83	$257.26	n/a	
00883	00	A0429	209.44	1.60	0.961	$332.47	$335.73	$411.61	n/a	
