(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Mississippi									
00836	02	A0426	209.65	1.20	1.085	$271.88	$274.55	$336.59	n/a
00836	02	A0427	209.65	1.90	1.085	$430.48	$434.70	$532.94	n/a
00836	02	A0428	209.65	1.00	1.085	$226.57	$228.79	$280.49	n/a
00836	02	A0429	209.65	1.60	1.085	$362.51	$366.06	$448.79	n/a
00836	02	A0430	2845.14	1.00	1.085	"$2,966.06"	"$4,449.09"	n/a	"$4,449.09"
00836	02	A0431	3307.89	1.00	1.085	"$3,448.48"	"$5,172.71"	n/a	"$5,172.71"
00836	02	A0432	209.65	1.75	1.085	$396.49	$400.38	n/a	n/a
00836	02	A0433	209.65	2.75	1.085	$623.06	$629.17	$771.36	n/a
00836	02	A0434	209.65	3.25	1.085	$736.34	$743.56	$911.61	n/a
00836	02	A0435	8.07	1.00	1.085	$8.07	$12.11	n/a	$12.11
00836	02	A0436	21.53	1.00	1.085	$21.53	$32.30	n/a	$32.30
00836	99	A0425	6.74	1.00	0.988	$6.87	$6.94	n/a	$10.41
00836	99	A0426	209.65	1.20	0.988	$254.46	$256.95	$315.02	n/a
00836	99	A0427	209.65	1.90	0.988	$402.89	$406.84	$498.78	n/a
00836	99	A0428	209.65	1.00	0.988	$212.05	$214.13	$262.52	n/a
00836	99	A0429	209.65	1.60	0.988	$339.27	$342.60	$420.03	n/a
00836	99	A0430	2845.14	1.00	0.988	"$2,828.07"	"$4,242.10"	n/a	"$4,242.10"
00836	99	A0431	3307.89	1.00	0.988	"$3,288.04"	"$4,932.06"	n/a	"$4,932.06"
00836	99	A0432	209.65	1.75	0.988	$371.08	$374.72	n/a	n/a
00836	99	A0433	209.65	2.75	0.988	$583.13	$588.85	$721.92	n/a
00836	99	A0434	209.65	3.25	0.988	$689.15	$695.91	$853.18	n/a
00836	99	A0435	8.07	1.00	0.988	$8.07	$12.11	n/a	$12.11
00836	99	A0436	21.53	1.00	0.988	$21.53	$32.30	n/a	$32.30
South Carolina									
00880	01	A0425	6.74	1.00	0.954	$6.87	$6.94	n/a	$10.41
00880	01	A0426	209.65	1.20	0.954	$248.35	$250.78	$307.46	n/a
00880	01	A0427	209.65	1.90	0.954	$393.22	$397.07	$486.81	n/a
00880	01	A0428	209.65	1.00	0.954	$206.96	$208.99	$256.22	n/a
00880	01	A0429	209.65	1.60	0.954	$331.13	$334.38	$409.95	n/a
00880	01	A0430	2845.14	1.00	0.954	"$2,779.70"	"$4,169.55"	n/a	"$4,169.55"
00880	01	A0431	3307.89	1.00	0.954	"$3,231.81"	"$4,847.71"	n/a	"$4,847.71"
00880	01	A0432	209.65	1.75	0.954	$362.18	$365.73	n/a	n/a
00880	01	A0433	209.65	2.75	0.954	$569.13	$574.71	$704.60	n/a
00880	01	A0434	209.65	3.25	0.954	$672.61	$679.21	$832.71	n/a
00880	01	A0435	8.07	1.00	0.954	$8.07	$12.11	n/a	$12.11
00880	01	A0436	21.53	1.00	0.954	$21.53	$32.30	n/a	$32.30
Ohio									
00883	00	A0425	6.74	1.00	0.964	$6.87	$6.94	n/a	$10.41
00883	00	A0426	209.65	1.20	0.964	$250.14	$252.60	$309.68	n/a
00883	00	A0427	209.65	1.90	0.964	$396.06	$399.95	$490.33	n/a
00883	00	A0428	209.65	1.00	0.964	$208.45	$210.50	$258.07	n/a
00883	00	A0429	209.65	1.60	0.964	$333.53	$336.80	$412.91	n/a
00883	00	A0430	2845.14	1.00	0.964	"$2,793.93"	"$4,190.89"	n/a	"$4,190.89"
00883	00	A0431	3307.89	1.00	0.964	"$3,248.35"	"$4,872.52"	n/a	"$4,872.52"
00883	00	A0432	209.65	1.75	0.964	$364.79	$368.37	n/a	n/a
00883	00	A0433	209.65	2.75	0.964	$573.25	$578.87	$709.69	n/a
00883	00	A0434	209.65	3.25	0.964	$677.48	$684.12	$838.73	n/a
00883	00	A0435	8.07	1.00	0.964	$8.07	$12.11	n/a	$12.11
00883	00	A0436	21.53	1.00	0.964	$21.53	$32.30	n/a	$32.30
West Virginia									
00884	16	A0425	6.74	1.00	0.914	$6.87	$6.94	n/a	$10.41
00884	16	A0426	209.65	1.20	0.914	$241.16	$243.53	$298.57	n/a
00884	16	A0427	209.65	1.90	0.914	$381.84	$385.59	$472.73	n/a
00884	16	A0428	209.65	1.00	0.914	$200.97	$202.94	$248.80	n/a
00884	16	A0429	209.65	1.60	0.914	$321.55	$324.70	$398.09	n/a
00884	16	A0430	2845.14	1.00	0.914	"$2,722.80"	"$4,084.20"	n/a	"$4,084.20"
00884	16	A0431	3307.89	1.00	0.914	"$3,165.65"	"$4,748.48"	n/a	"$4,748.48"
00884	16	A0432	209.65	1.75	0.914	$351.70	$355.14	n/a	n/a
00884	16	A0433	209.65	2.75	0.914	$552.67	$558.08	$684.21	n/a
00884	16	A0434	209.65	3.25	0.914	$653.15	$659.55	$808.61	n/a
00884	16	A0435	8.07	1.00	0.914	$8.07	$12.11	n/a	$12.11
00884	16	A0436	21.53	1.00	0.914	$21.53	$32.30	n/a	$32.30
Virginia									
00904	00	A0425	6.74	1.00	0.972	$6.87	$6.94	n/a	$10.41
00904	00	A0426	209.65	1.20	0.972	$251.58	$254.05	$311.46	n/a
00904	00	A0427	209.65	1.90	0.972	$398.34	$402.24	$493.15	n/a
00904	00	A0428	209.65	1.00	0.972	$209.65	$211.71	$259.55	n/a
00904	00	A0429	209.65	1.60	0.972	$335.44	$338.73	$415.28	n/a
00904	00	A0430	2845.14	1.00	0.972	"$2,805.31"	"$4,207.96"	n/a	"$4,207.96"
00904	00	A0431	3307.89	1.00	0.972	"$3,261.58"	"$4,892.37"	n/a	"$4,892.37"
00904	00	A0432	209.65	1.75	0.972	$366.89	$370.49	n/a	n/a
00904	00	A0433	209.65	2.75	0.972	$576.54	$582.19	$713.77	n/a
00904	00	A0434	209.65	3.25	0.972	$681.37	$688.05	$843.55	n/a
00904	00	A0435	8.07	1.00	0.972	$8.07	$12.11	n/a	$12.11
00904	00	A0436	21.53	1.00	0.972	$21.53	$32.30	n/a	$32.30
Wisconsin									
00951	00	A0425	6.74	1.00	0.961	$6.87	$6.94	n/a	$10.41
00951	00	A0426	209.65	1.20	0.961	$249.61	$252.05	$309.02	n/a
00951	00	A0427	209.65	1.90	0.961	$395.21	$399.08	$489.28	n/a
00951	00	A0428	209.65	1.00	0.961	$208.01	$210.04	$257.51	n/a
00951	00	A0429	209.65	1.60	0.961	$332.81	$336.07	$412.02	n/a
00951	00	A0430	2845.14	1.00	0.961	"$2,789.66"	"$4,184.49"	n/a	"$4,184.49"
00951	00	A0431	3307.89	1.00	0.961	"$3,243.39"	"$4,865.08"	n/a	"$4,865.08"
00951	00	A0432	209.65	1.75	0.961	$364.01	$367.58	n/a	n/a
00951	00	A0433	209.65	2.75	0.961	$572.01	$577.62	$708.16	n/a
00951	00	A0434	209.65	3.25	0.961	$676.02	$682.64	$836.92	n/a
00951	00	A0435	8.07	1.00	0.961	$8.07	$12.11	n/a	$12.11
00951	00	A0436	21.53	1.00	0.961	$21.53	$32.30	n/a	$32.30
Illinois									
00952	12	A0425	6.74	1.00	0.960	$6.87	$6.94	n/a	$10.41
00952	12	A0426	209.65	1.20	0.960	$249.43	$251.87	$308.79	n/a
00952	12	A0427	209.65	1.90	0.960	$394.93	$398.80	$488.93	n/a
00952	12	A0428	209.65	1.00	0.960	$207.86	$209.89	$257.33	n/a
00952	12	A0429	209.65	1.60	0.960	$332.57	$335.83	$411.73	n/a
00952	12	A0430	2845.14	1.00	0.960	"$2,788.24"	"$4,182.36"	n/a	"$4,182.36"
00952	12	A0431	3307.89	1.00	0.960	"$3,241.73"	"$4,862.60"	n/a	"$4,862.60"
00952	12	A0432	209.65	1.75	0.960	$363.75	$367.31	n/a	n/a
00952	12	A0433	209.65	2.75	0.960	$571.60	$577.21	$707.65	n/a
00952	12	A0434	209.65	3.25	0.960	$675.53	$682.15	$836.32	n/a
00952	12	A0435	8.07	1.00	0.960	$8.07	$12.11	n/a	$12.11
00952	12	A0436	21.53	1.00	0.960	$21.53	$32.30	n/a	$32.30
00952	15	A0425	6.74	1.00	1.068	$6.87	$6.94	n/a	$10.41
00952	15	A0426	209.65	1.20	1.068	$268.83	$271.46	$332.81	n/a
00952	15	A0427	209.65	1.90	1.068	$425.64	$429.81	$526.95	n/a
00952	15	A0428	209.65	1.00	1.068	$224.02	$226.22	$277.34	n/a
00952	15	A0429	209.65	1.60	1.068	$358.44	$361.95	$443.75	n/a
00952	15	A0430	2845.14	1.00	1.068	"$2,941.87"	"$4,412.81"	n/a	"$4,412.81"
00952	15	A0431	3307.89	1.00	1.068	"$3,420.36"	"$5,130.54"	n/a	"$5,130.54"
00952	15	A0432	209.65	1.75	1.068	$392.04	$395.88	n/a	n/a
00952	15	A0433	209.65	2.75	1.068	$616.06	$622.10	$762.69	n/a
00952	15	A0434	209.65	3.25	1.068	$728.07	$735.21	$901.37	n/a
00952	15	A0435	8.07	1.00	1.068	$8.07	$12.11	n/a	$12.11
00952	15	A0436	21.53	1.00	1.068	$21.53	$32.30	n/a	$32.30
00952	16	A0425	6.74	1.00	1.080	$6.87	$6.94	n/a	$10.41
00952	16	A0426	209.65	1.20	1.080	$270.98	$273.64	$335.48	n/a
00952	16	A0427	209.65	1.90	1.080	$429.05	$433.26	$531.18	n/a
00952	16	A0428	209.65	1.00	1.080	$225.82	$228.03	$279.57	n/a
00952	16	A0429	209.65	1.60	1.080	$361.31	$364.85	$447.31	n/a
Illinois (cont'd)									
00952	16	A0430	2845.14	1.00	1.080	"$2,958.95"	"$4,438.42"	n/a	"$4,438.42"
00952	16	A0431	3307.89	1.00	1.080	"$3,440.21"	"$5,160.31"	n/a	"$5,160.31"
00952	16	A0432	209.65	1.75	1.080	$395.18	$399.06	n/a	n/a
00952	16	A0433	209.65	2.75	1.080	$621.00	$627.09	$768.81	n/a
