CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*	
01112	64	A0425	1.00	1.083	7.15	$7.29	$7.36	n/a	$11.04	
01112	64	A0426	1.20	1.083	222.29	$287.89	$290.71	$356.41	n/a	
01112	64	A0427	1.90	1.083	222.29	$455.83	$460.30	$564.33	n/a	
01112	64	A0428	1.00	1.083	222.29	$239.91	$242.26	$297.01	n/a	
01112	64	A0429	1.60	1.083	222.29	$383.85	$387.62	$475.22	n/a	
01112	64	A0430	1.00	1.083	3016.51	"$3,141.70"	"$4,712.54"	n/a	"$4,712.54"	
01112	64	A0431	1.00	1.083	3507.14	"$3,652.69"	"$5,479.03"	n/a	"$5,479.03"	
01112	64	A0432	1.75	1.083	222.29	$419.84	$423.96	n/a	n/a	
01112	64	A0433	2.75	1.083	222.29	$659.75	$666.22	$816.79	n/a	
01112	64	A0434	3.25	1.083	222.29	$779.70	$787.35	$965.29	n/a	
01112	64	A0435	1.00	1.083	8.56	$8.56	$12.84	n/a	$12.84	
01112	64	A0436	1.00	1.083	22.84	$22.84	$34.26	n/a	$34.26	
01112	65	A0425	1.00	1.121	7.15	$7.29	$7.36	n/a	$11.04	
01112	65	A0426	1.20	1.121	222.29	$295.13	$298.02	$365.37	n/a	
01112	65	A0427	1.90	1.121	222.29	$467.29	$471.87	$578.51	n/a	
01112	65	A0428	1.00	1.121	222.29	$245.94	$248.35	$304.48	n/a	
01112	65	A0429	1.60	1.121	222.29	$393.50	$397.36	$487.16	n/a	
01112	65	A0430	1.00	1.121	3016.51	"$3,199.01"	"$4,798.51"	n/a	"$4,798.51"	
01112	65	A0431	1.00	1.121	3507.14	"$3,719.32"	"$5,578.98"	n/a	"$5,578.98"	
01112	65	A0432	1.75	1.121	222.29	$430.40	$434.62	n/a	n/a	
01112	65	A0433	2.75	1.121	222.29	$676.34	$682.97	$837.32	n/a	
01112	65	A0434	3.25	1.121	222.29	$799.31	$807.14	$989.55	n/a	
01112	65	A0435	1.00	1.121	8.56	$8.56	$12.84	n/a	$12.84	
01112	65	A0436	1.00	1.121	22.84	$22.84	$34.26	n/a	$34.26	
01112	66	A0425	1.00	1.103	7.15	$7.29	$7.36	n/a	$11.04	
01112	66	A0426	1.20	1.103	222.29	$291.70	$294.56	$361.13	n/a	
01112	66	A0427	1.90	1.103	222.29	$461.86	$466.39	$571.79	n/a	
01112	66	A0428	1.00	1.103	222.29	$243.08	$245.47	$300.95	n/a	
01112	66	A0429	1.60	1.103	222.29	$388.93	$392.75	$481.51	n/a	
01112	66	A0430	1.00	1.103	3016.51	"$3,171.86"	"$4,757.79"	n/a	"$4,757.79"	
01112	66	A0431	1.00	1.103	3507.14	"$3,687.76"	"$5,531.64"	n/a	"$5,531.64"	
01112	66	A0432	1.75	1.103	222.29	$425.40	$429.57	n/a	n/a	
01112	66	A0433	2.75	1.103	222.29	$668.48	$675.03	$827.59	n/a	
01112	66	A0434	3.25	1.103	222.29	$790.02	$797.77	$978.07	n/a	
01112	66	A0435	1.00	1.103	8.56	$8.56	$12.84	n/a	$12.84	
01112	66	A0436	1.00	1.103	22.84	$22.84	$34.26	n/a	$34.26	
01112	67	A0425	1.00	1.093	7.15	$7.29	$7.36	n/a	$11.04	
01112	67	A0426	1.20	1.093	222.29	$289.80	$292.64	$358.78	n/a	
01112	67	A0427	1.90	1.093	222.29	$458.84	$463.34	$568.05	n/a	
01112	67	A0428	1.00	1.093	222.29	$241.50	$243.86	$298.97	n/a	
01112	67	A0429	1.60	1.093	222.29	$386.39	$390.18	$478.36	n/a	
01112	67	A0430	1.00	1.093	3016.51	"$3,156.78"	"$4,735.17"	n/a	"$4,735.17"	
01112	67	A0431	1.00	1.093	3507.14	"$3,670.22"	"$5,505.33"	n/a	"$5,505.33"	
01112	67	A0432	1.75	1.093	222.29	$422.62	$426.76	n/a	n/a	
01112	67	A0433	2.75	1.093	222.29	$664.11	$670.63	$822.19	n/a	
01112	67	A0434	3.25	1.093	222.29	$784.86	$792.56	$971.68	n/a	
01112	67	A0435	1.00	1.093	8.56	$8.56	$12.84	n/a	$12.84	
01112	67	A0436	1.00	1.093	22.84	$22.84	$34.26	n/a	$34.26	
01112	68	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	68	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	68	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	68	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	68	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	68	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	68	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	68	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	68	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	68	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	68	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	68	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	69	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	69	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	69	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	69	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	69	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	69	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	69	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	69	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	69	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	69	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	69	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	69	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	70	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	70	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	70	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	70	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	70	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	70	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	70	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	70	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	70	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	70	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	70	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	70	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01112	75	A0425	1.00	1.079	7.15	$7.29	$7.36	n/a	$11.04	
01112	75	A0426	1.20	1.079	222.29	$287.13	$289.94	$355.47	n/a	
01112	75	A0427	1.90	1.079	222.29	$454.62	$459.08	$562.83	n/a	
01112	75	A0428	1.00	1.079	222.29	$239.27	$241.62	$296.23	n/a	
01112	75	A0429	1.60	1.079	222.29	$382.84	$386.59	$473.96	n/a	
01112	75	A0430	1.00	1.079	3016.51	"$3,135.66"	"$4,703.49"	n/a	"$4,703.49"	
01112	75	A0431	1.00	1.079	3507.14	"$3,645.67"	"$5,468.51"	n/a	"$5,468.51"	
01112	75	A0432	1.75	1.079	222.29	$418.73	$422.84	n/a	n/a	
01112	75	A0433	2.75	1.079	222.29	$658.00	$664.46	$814.63	n/a	
01112	75	A0434	3.25	1.079	222.29	$777.64	$785.27	$962.74	n/a	
01112	75	A0435	1.00	1.079	8.56	$8.56	$12.84	n/a	$12.84	
01112	75	A0436	1.00	1.079	22.84	$22.84	$34.26	n/a	$34.26	
01182	17	A0425	1.00	1.178	7.15	$7.29	$7.36	n/a	$11.04	
01182	17	A0426	1.20	1.178	222.29	$305.98	$308.98	$378.81	n/a	
01182	17	A0427	1.90	1.178	222.29	$484.48	$489.23	$599.80	n/a	
01182	17	A0428	1.00	1.178	222.29	$254.99	$257.49	$315.68	n/a	
01182	17	A0429	1.60	1.178	222.29	$407.98	$411.98	$505.09	n/a	
01182	17	A0430	1.00	1.178	3016.51	"$3,284.98"	"$4,927.47"	n/a	"$4,927.47"	
01182	17	A0431	1.00	1.178	3507.14	"$3,819.28"	"$5,728.91"	n/a	"$5,728.91"	
01182	17	A0432	1.75	1.178	222.29	$446.23	$450.60	n/a	n/a	
01182	17	A0433	2.75	1.178	222.29	$701.21	$708.09	$868.12	n/a	
01182	17	A0434	3.25	1.178	222.29	$828.71	$836.83	"$1,025.95"	n/a	
01182	17	A0435	1.00	1.178	8.56	$8.56	$12.84	n/a	$12.84	
01182	17	A0436	1.00	1.178	22.84	$22.84	$34.26	n/a	$34.26	
01182	18	A0425	1.00	1.169	7.15	$7.29	$7.36	n/a	$11.04	
01182	18	A0426	1.20	1.169	222.29	$304.27	$307.25	$376.69	n/a	
01182	18	A0427	1.90	1.169	222.29	$481.76	$486.48	$596.42	n/a	
